photo_key,restaurant_key,product_key,source_type,external_url,alt_text,is_primary,status
ph-big-belly-cluj-napoca-meniu-piept-de-pui-crocant-5-buc,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-piept-de-pui-crocant-5-buc,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_ae784068fa6bcb6cb7f89ef0.jpg,,true,ACTIVE
ph-big-belly-cluj-napoca-meniu-piept-de-pui-crocant-7-buc,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-piept-de-pui-crocant-7-buc,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_5485b158ab92eb2438794f19.jpg,,true,ACTIVE
ph-big-belly-cluj-napoca-meniu-cascaval,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-cascaval,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_d141306b38bf02cad8d7c696.jpg,,false,ACTIVE
ph-big-belly-cluj-napoca-meniu-mixt-cascaval,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-mixt-cascaval,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_d141306b38bf02cad8d7c696.jpg,,false,ACTIVE
ph-big-belly-cluj-napoca-meniu-mixt,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-mixt,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_88ab21debca9772c464c9e58.jpg,,true,ACTIVE
ph-big-belly-cluj-napoca-meniu-gratar,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-gratar,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_bbb154f2640b8f7ee1fb35ee.jpg,,true,ACTIVE
ph-big-belly-cluj-napoca-meniu-pulpe-de-pui-dezosate-crocante,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-pulpe-de-pui-dezosate-crocante,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_557dd39dbb9620f403584c43.jpg,,true,ACTIVE
ph-big-belly-cluj-napoca-meniu-aripioare-crocante,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-aripioare-crocante,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_d141306b38bf02cad8d7c696.jpg,,false,ACTIVE
ph-big-belly-cluj-napoca-meniu-turkey-sandwich,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-turkey-sandwich,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_d141306b38bf02cad8d7c696.jpg,,false,ACTIVE
ph-big-belly-cluj-napoca-bbq-ribs-pack,big-belly-cluj-napoca,big-belly-cluj-napoca-bbq-ribs-pack,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_a0be9183e4bb0cb0e677ee91.jpg,,true,ACTIVE
ph-big-belly-cluj-napoca-meniu-vegetarian,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-vegetarian,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_d141306b38bf02cad8d7c696.jpg,,false,ACTIVE
ph-big-belly-cluj-napoca-meniul-vegetarian,big-belly-cluj-napoca,big-belly-cluj-napoca-meniul-vegetarian,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_d141306b38bf02cad8d7c696.jpg,,false,ACTIVE
ph-big-belly-cluj-napoca-meniu-pulpe-grill-si-legume-la-tigaie,big-belly-cluj-napoca,big-belly-cluj-napoca-meniu-pulpe-grill-si-legume-la-tigaie,GOOGLE_PROTOTYPE,/prototype-media/big-belly-cluj-napoca/ph_d141306b38bf02cad8d7c696.jpg,,false,ACTIVE
ph-jaxx-cluj-napoca-pork-padron-pepper,jaxx-cluj-napoca,jaxx-cluj-napoca-pork-padron-pepper,GOOGLE_PROTOTYPE,/prototype-media/jaxx-cluj-napoca/ph_1db5d01f9a915b2827df6729.jpg,,true,ACTIVE
ph-jaxx-cluj-napoca-garlic-gambas,jaxx-cluj-napoca,jaxx-cluj-napoca-garlic-gambas,GOOGLE_PROTOTYPE,/prototype-media/jaxx-cluj-napoca/ph_a97323fc3446a4225ab1a39b.jpg,,false,ACTIVE
ph-jaxx-cluj-napoca-spanish-tortilla,jaxx-cluj-napoca,jaxx-cluj-napoca-spanish-tortilla,GOOGLE_PROTOTYPE,/prototype-media/jaxx-cluj-napoca/ph_a97323fc3446a4225ab1a39b.jpg,,false,ACTIVE
ph-jaxx-cluj-napoca-patatas-bravas,jaxx-cluj-napoca,jaxx-cluj-napoca-patatas-bravas,GOOGLE_PROTOTYPE,/prototype-media/jaxx-cluj-napoca/ph_a97323fc3446a4225ab1a39b.jpg,,false,ACTIVE
ph-jaxx-cluj-napoca-chilled-salmorejo-jamon,jaxx-cluj-napoca,jaxx-cluj-napoca-chilled-salmorejo-jamon,GOOGLE_PROTOTYPE,/prototype-media/jaxx-cluj-napoca/ph_a97323fc3446a4225ab1a39b.jpg,,false,ACTIVE
ph-roata-cluj-napoca-omleta-cu-cascaval,roata-cluj-napoca,roata-cluj-napoca-omleta-cu-cascaval,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-omleta-cu-sunca,roata-cluj-napoca,roata-cluj-napoca-omleta-cu-sunca,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-ciorba-de-burta,roata-cluj-napoca,roata-cluj-napoca-ciorba-de-burta,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_664a830aa01eb438afa43f78.jpg,,true,ACTIVE
ph-roata-cluj-napoca-ciorba-de-varza-acra-cu-afumatura,roata-cluj-napoca,roata-cluj-napoca-ciorba-de-varza-acra-cu-afumatura,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-salata-cu-piept-de-pui,roata-cluj-napoca,roata-cluj-napoca-salata-cu-piept-de-pui,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-salata-greceasca,roata-cluj-napoca,roata-cluj-napoca-salata-greceasca,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-salata-de-vinete,roata-cluj-napoca,roata-cluj-napoca-salata-de-vinete,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-platou-taranesc-roata,roata-cluj-napoca,roata-cluj-napoca-platou-taranesc-roata,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-cas-pane,roata-cluj-napoca,roata-cluj-napoca-cas-pane,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-camembert-la-gratar,roata-cluj-napoca,roata-cluj-napoca-camembert-la-gratar,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-platou-mix-grill-faget,roata-cluj-napoca,roata-cluj-napoca-platou-mix-grill-faget,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-platou-mix-grill-roata,roata-cluj-napoca,roata-cluj-napoca-platou-mix-grill-roata,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-bianco,roata-cluj-napoca,roata-cluj-napoca-bianco,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-roata-faget,roata-cluj-napoca,roata-cluj-napoca-roata-faget,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-papanasi,roata-cluj-napoca,roata-cluj-napoca-papanasi,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-papanasi-cu-ciocolata,roata-cluj-napoca,roata-cluj-napoca-papanasi-cu-ciocolata,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-penne-cu-pui-si-hribi,roata-cluj-napoca,roata-cluj-napoca-penne-cu-pui-si-hribi,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-penne-carbonara,roata-cluj-napoca,roata-cluj-napoca-penne-carbonara,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-ciolan-intreg-la-cuptor,roata-cluj-napoca,roata-cluj-napoca-ciolan-intreg-la-cuptor,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-ciolan-afumat-la-gratar,roata-cluj-napoca,roata-cluj-napoca-ciolan-afumat-la-gratar,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-ceafa-tiganeasca,roata-cluj-napoca,roata-cluj-napoca-ceafa-tiganeasca,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-costite-de-porc-cu-sos-barbeque,roata-cluj-napoca,roata-cluj-napoca-costite-de-porc-cu-sos-barbeque,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-crispy-chicken-cu-sos-aioli,roata-cluj-napoca,roata-cluj-napoca-crispy-chicken-cu-sos-aioli,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-piept-de-pui-mexican,roata-cluj-napoca,roata-cluj-napoca-piept-de-pui-mexican,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-cartos-prajiti,roata-cluj-napoca,roata-cluj-napoca-cartos-prajiti,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-orez-cu-legume,roata-cluj-napoca,roata-cluj-napoca-orez-cu-legume,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-costite-de-porc,roata-cluj-napoca,roata-cluj-napoca-costite-de-porc,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-brisket-de-vita,roata-cluj-napoca,roata-cluj-napoca-brisket-de-vita,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
ph-roata-cluj-napoca-rustica,roata-cluj-napoca,roata-cluj-napoca-rustica,GOOGLE_PROTOTYPE,/prototype-media/roata-cluj-napoca/ph_eb5ea11989b85d246a675e1d.jpg,,false,ACTIVE
