product_key,restaurant_key,name,description,weight_text,status
big-belly-cluj-napoca-meniu-piept-de-pui-crocant-5-buc,big-belly-cluj-napoca,Meniu Piept de Pui Crocant - 5 buc,"Ingrediente: piept de pui crocant (220 g) + cartofi prajiti sau orez cu legume (220 g) + sos la alegere (70 g) + suc sau bere 0,5",500 g,ACTIVE
big-belly-cluj-napoca-meniu-piept-de-pui-crocant-7-buc,big-belly-cluj-napoca,Meniu Piept de Pui Crocant - 7 buc,"Ingrediente: piept de pui crocant (320 g) + cartofi prajiti sau orez cu legume (220 g) + sos la alegere (70 g) + suc sau bere 0,5",600 g,ACTIVE
big-belly-cluj-napoca-meniu-cascaval,big-belly-cluj-napoca,Meniu Cașcaval,"Ingrediente: 3 buc. cascaval pane (210 g) + salata asortata de varza, rosii, castraveti (250 g) + cartofi prajiti sau orez cu legume (200 g) + sos la alegere (70 g) + bautura la alegere (0.5 litri)",700 g,ACTIVE
big-belly-cluj-napoca-meniu-mixt-cascaval,big-belly-cluj-napoca,Meniu Mixt Cașcaval,"Ingrediente: 2 buc. cascaval pane (140 g) + 4 buc. piept pui crocant (200 g) + 1x porție cartofi prajiti sau orez cu legume (220 g) + 1x sos la alegere (70 g) + 1x bautura la alegere 0,5 (suc sau bere)",600 g,ACTIVE
big-belly-cluj-napoca-meniu-mixt,big-belly-cluj-napoca,Meniu Mixt,"Ingrediente: 3 buc. piept pui crocant (130 gr) + 1 buc. pulpă de pui dezosată, crocanta (~100 gr) + 3 buc. aripi pui crocante (~100 gr) + 1x portie cartofi prajiti sau orez cu legume (220 gr) + 1x sos la alegere (70 gr) + 1x suc sau bere la alegere (0.5 litri)",600 g,ACTIVE
big-belly-cluj-napoca-meniu-gratar,big-belly-cluj-napoca,Meniu Grătar,Ingrediente: 1 buc. ceafă de porc la grătar + 2 buc. piept pui la grătar + 1x porție cartofi naturali prajiti sau orez cu legume + 1x salată asortată de varză + 1x sos la alegere (70 gr) + 1x suc sau bere (0.5l),790 g,ACTIVE
big-belly-cluj-napoca-meniu-pulpe-de-pui-dezosate-crocante,big-belly-cluj-napoca,"Meniu Pulpe de Pui Dezosate, Crocante",Ingrediente: 3 buc. pulpe de pui crocante (~300 gr) + cartofi prajiti sau orez cu legume + sos la alegere (70 gr) + suc sau bere (0.5 litri),600 g,ACTIVE
big-belly-cluj-napoca-meniu-aripioare-crocante,big-belly-cluj-napoca,Meniu Aripioare Crocante,Ingrediente: 6 buc. aripi pui (~230 gr) + cartofi prajiti sau orez cu legume (220 gr) + sos la alegere (70 gr) + suc sau bere la alegere (0.5 litri),500 g,ACTIVE
big-belly-cluj-napoca-meniu-turkey-sandwich,big-belly-cluj-napoca,Meniu Turkey Sandwich,"Ingrediente: Chiflă, castraveti murati, mixt salata, piept de curcan gătit la sous-vide, ceapă crocantă, maioneză sriracha + cartofi prajiti cu parmezan si usturoi (~220 gr) + sos (70 gr)",650 g,ACTIVE
big-belly-cluj-napoca-bbq-ribs-pack,big-belly-cluj-napoca,BBQ Ribs Pack,"Ingrediente: Costiță de porc caramelizata in sos BBQ - gatită dupa reteta proprie (430 g) + cartofi fierti, trasi la tigaie cu ceapă verde (250 g) + Un mix de salata proaspata, condimentată",760 g,ACTIVE
big-belly-cluj-napoca-meniu-vegetarian,big-belly-cluj-napoca,Meniu Vegetarian,"Ingrediente: chiftele vegetale 2 buc (170 gr) + cartofi prajiti (200 gr) + salata asortata de varza, rosii si castraveti",650 g,ACTIVE
big-belly-cluj-napoca-meniul-vegetarian,big-belly-cluj-napoca,Meniul Vegetarian,"reprezintă combinația ideală de prospețime și aromă. Chiftelele vegetale, preparate din ingrediente atent selecționate, se îmbină perfect cu cartofii prăjiți și salata asortată, plină de legume proaspete. Alege această opțiune pentru o masă echilibrată, sănătoasă și sățioasă. Comandă acum",,ACTIVE
